"","CCLE.PRISM","CCLE.CTRPv2","GDSC_v1","GDSC_v2","GRAY","UHNBreast","gCSI"
"Erlotinib",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Lapatinib",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Paclitaxel",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"5-Fluorouracil",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"Bortezomib",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"Docetaxel",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"Gefitinib",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"Gemcitabine",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"Nilotinib",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"Selumetinib",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"Vorinostat",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"Afatinib",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"AZD7762",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
"AZD8055",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
"Bosutinib",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
"Cisplatin",TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
"Crizotinib",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
"Dabrafenib",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
"Dasatinib",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
"Etoposide",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
"Pictilisib",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
"Methotrexate",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
"MK-2206",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
"Dactolisib",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"Olaparib",TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
"Pevonedistat",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"PLX4720",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
"Sirolimus",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"Sorafenib",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"Tamoxifen",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"Tanespimycin",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
"Tozasertib",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"Trametinib",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"Alisertib",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"Alpelisib",TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"Axitinib",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"Azd4547",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"AZD6482",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"BI-2536",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"BMS-345541 free base",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"Bms-754807",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"Chir-99021",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Cytarabine",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"Doxorubicin",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
"Entinostat",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"Daporinad",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"Foretinib",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"Fulvestrant",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"GW843682X",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
"Molibresib",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"Ibrutinib",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"Idelalisib",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Imatinib",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
"Linsitinib",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"Z-Leu-leu-leu-al",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
"Navitoclax",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"Obatoclax",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"Osi-027",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"Oxaliplatin",TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
"Palbociclib",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
"Panobinostat",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
"PD 173074",TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
"Ruxolitinib",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"Sunitinib",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
"Temozolomide",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"Temsirolimus",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
"TPCA-1",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
"Venetoclax",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"Vincristine",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"Vinorelbine",TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
"Sepantronium bromide",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"ZM-447439",TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
"JQ1 compound",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
"Abt-737",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
"Alvocidib",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"AT7867",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"AZ-628",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"Azacitidine",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
"AZD2014",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"AZD5438",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"Belinostat",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"Bexarotene",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"BIBR-1532",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
"Cabozantinib",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"Canertinib",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
